region_name,region_type,region_id,color
cic,allen_ccf,633,#CCCCCC
VISl4,allen_ccf,573,#08858C
TR,allen_ccf,566,#A8ECD3
ASO,allen_ccf,332,#FF5D50
VISl,allen_ccf,409,#08858C
VM,allen_ccf,685,#FF8084
AUDd,allen_ccf,1011,#019399
SSp-n1,allen_ccf,558,#188064
NTS,allen_ccf,651,#FFA5D2
gVIIn,allen_ccf,1116,#CCCCCC
GPe,allen_ccf,1022,#8599CC
PERI6a,allen_ccf,335,#0E9684
PL6a,allen_ccf,84,#2FA850
AIp6a,allen_ccf,314,#219866
RSPagl,allen_ccf,894,#1AA698
VIIIn,allen_ccf,933,#CCCCCC
AId1,allen_ccf,996,#219866
RSPd1,allen_ccf,442,#1AA698
PHY,allen_ccf,154,#FFB3D9
ENTm2,allen_ccf,543,#32B825
VISrl6a,allen_ccf,312782620,#009FAC
P-mot,allen_ccf,987,#FFBA86
MEZ,allen_ccf,467,#FF4C3E
VPL,allen_ccf,718,#FF8084
DMX,allen_ccf,839,#FFB3D9
ORBvl1,allen_ccf,969,#248A5E
ECT1,allen_ccf,836,#0D9F91
VISa1,allen_ccf,312782550,#009FAC
ORBvl6b,allen_ccf,680,#248A5E
AUDpo6b,allen_ccf,456,#019399
NI,allen_ccf,604,#FFC395
LA,allen_ccf,131,#90EB8D
VISpm4,allen_ccf,501,#08858C
AUDv5,allen_ccf,1023,#019399
ME,allen_ccf,10671,#F2483B
ILA6b,allen_ccf,1081,#59B363
CN,allen_ccf,607,#FFA5D2
AQ,allen_ccf,140,#AAAAAA
VISp6b,allen_ccf,305,#08858C
VPLpc,allen_ccf,725,#FF8084
BMAa,allen_ccf,327,#84EA81
AP,allen_ccf,207,#FFA5D2
VISpm5,allen_ccf,565,#08858C
MD,allen_ccf,362,#FF909F
AUDv4,allen_ccf,990,#019399
AUDv6b,allen_ccf,598,#019399
VISpl1,allen_ccf,750,#08858C
"CUL4, 5",allen_ccf,1091,#FFFC91
MS,allen_ccf,564,#96A7D3
lotg,allen_ccf,21,#CCCCCC
ORBm6b,allen_ccf,527696977,#248A5E
Su3,allen_ccf,614454277,#FF90FF
vVIIIn,allen_ccf,413,#CCCCCC
SCH,allen_ccf,286,#FF5547
ACAd1,allen_ccf,935,#40A666
MGd,allen_ccf,1072,#FF8084
Vn,allen_ccf,901,#CCCCCC
ARH,allen_ccf,223,#FF5D50
SSp-tr,allen_ccf,361,#188064
SMT,allen_ccf,366,#FF909F
VPM,allen_ccf,733,#FF8084
SSp-ll,allen_ccf,337,#188064
IPI,allen_ccf,607344850,#FFA6FF
PERI,allen_ccf,922,#0E9684
SPVC,allen_ccf,429,#FFA5D2
mfsbshy,allen_ccf,824,#CCCCCC
PRC,allen_ccf,50,#FF90FF
MOp1,allen_ccf,320,#1F9D5A
PERI6b,allen_ccf,368,#0E9684
GRN,allen_ccf,1048,#FFB3D9
PRT,allen_ccf,1100,#FF90FF
PL6b,allen_ccf,132,#2FA850
AIp6b,allen_ccf,355,#219866
SSp-un,allen_ccf,182305689,#188064
EPd,allen_ccf,952,#A0EE9D
eps,allen_ccf,1000,#CCCCCC
ENTl5,allen_ccf,139,#32B825
ENTm1,allen_ccf,526,#32B825
RSPv6a,allen_ccf,590,#1AA698
EPI,allen_ccf,958,#FF909F
UVU,allen_ccf,957,#FFFC91
mfbsma,allen_ccf,46,#CCCCCC
NLL,allen_ccf,612,#FFAE6F
BLA,allen_ccf,295,#9DE79C
SSp-ll4,allen_ccf,1094,#188064
PGRNl,allen_ccf,978,#FFB3D9
MOs6b,allen_ccf,1085,#1F9D5A
FRP,allen_ccf,184,#268F45
MEV,allen_ccf,460,#FF7AFF
SSp-bfd4,allen_ccf,1047,#188064
MEA,allen_ccf,403,#80C0E2
VISC5,allen_ccf,1058,#11AD83
csc,allen_ccf,336,#CCCCCC
LZ,allen_ccf,290,#F2483B
NR,allen_ccf,177,#FFB3D9
cst,allen_ccf,784,#CCCCCC
LM,allen_ccf,210,#FF4C3E
OV,allen_ccf,763,#FF5547
P,allen_ccf,771,#FF9B88
CB,allen_ccf,512,#F0F080
CU,allen_ccf,711,#FFA5D2
SSs6a,allen_ccf,862,#188064
sAMY,allen_ccf,278,#80C0E2
cc,allen_ccf,776,#CCCCCC
LGd-co,allen_ccf,496345668,#FF8084
SSp-tr1,allen_ccf,1006,#188064
tspd,allen_ccf,1051,#CCCCCC
ll,allen_ccf,658,#CCCCCC
MH,allen_ccf,483,#FF909F
ND,allen_ccf,587,#FF90FF
Xi,allen_ccf,560581559,#FF909F
VISC4,allen_ccf,1010,#11AD83
SCs,allen_ccf,302,#FF7AFF
VISal,allen_ccf,402,#08858C
opt,allen_ccf,125,#CCCCCC
fxpo,allen_ccf,737,#CCCCCC
ORBm2,allen_ccf,524,#248A5E
V4,allen_ccf,145,#AAAAAA
SSp-bfd5,allen_ccf,1070,#188064
SNc,allen_ccf,374,#FFA6FF
IPR,allen_ccf,607344834,#FFA6FF
SPVO,allen_ccf,445,#FFA5D2
lot,allen_ccf,665,#CCCCCC
COPY,allen_ccf,1033,#FFFC91
MOs1,allen_ccf,656,#1F9D5A
SSp-ll5,allen_ccf,1128,#188064
PeF,allen_ccf,576073704,#F2483B
PIR,allen_ccf,961,#6ACBBA
IGL,allen_ccf,27,#FF909F
RSPv6b,allen_ccf,622,#1AA698
VISal4,allen_ccf,1114,#08858C
AUDpo4,allen_ccf,759,#019399
NOT,allen_ccf,628,#FF90FF
PRM,allen_ccf,1025,#FFFC91
TEa4,allen_ccf,234,#15B0B3
MOs6a,allen_ccf,1021,#1F9D5A
SSp-ul5,allen_ccf,625,#188064
MARN,allen_ccf,307,#FFB3D9
TH,allen_ccf,549,#FF7080
APN,allen_ccf,215,#FF90FF
PDTg,allen_ccf,599626927,#FFBA86
VISli5,allen_ccf,312782590,#08858C
VISpor,allen_ccf,312782628,#08858C
ECT,allen_ccf,895,#0D9F91
CA,allen_ccf,375,#7ED04B
MPT,allen_ccf,531,#FF90FF
SSs5,allen_ccf,1090,#188064
SSs6b,allen_ccf,893,#188064
AI,allen_ccf,95,#219866
BS,allen_ccf,343,#FF7080
MY-mot,allen_ccf,370,#FFB3D9
SSs4,allen_ccf,1035,#188064
GENd,allen_ccf,1008,#FF8084
hbc,allen_ccf,611,#CCCCCC
STN,allen_ccf,470,#F2483B
OT,allen_ccf,754,#80CDF8
scp,allen_ccf,326,#CCCCCC
VISli4,allen_ccf,312782586,#08858C
TEa,allen_ccf,541,#15B0B3
SCop,allen_ccf,851,#FF7AFF
IRN,allen_ccf,136,#FFB3D9
SSp-ul4,allen_ccf,577,#188064
SSp-m1,allen_ccf,878,#188064
GPi,allen_ccf,1031,#8599CC
TEa5,allen_ccf,289,#15B0B3
SSp-tr,allen_ccf,361,#188064
FRP1,allen_ccf,68,#268F45
GU,allen_ccf,1057,#009C75
AUDpo5,allen_ccf,791,#019399
VISal5,allen_ccf,233,#08858C
RPF,allen_ccf,549009203,#FF90FF
mfbs,allen_ccf,991,#CCCCCC
VISam1,allen_ccf,281,#08858C
VISam5,allen_ccf,433,#08858C
VISal1,allen_ccf,1074,#08858C
SSp-n6b,allen_ccf,929,#188064
AUDpo1,allen_ccf,696,#019399
FRP5,allen_ccf,526157192,#268F45
SBPV,allen_ccf,347,#FF5547
TEa1,allen_ccf,97,#15B0B3
DORpm,allen_ccf,856,#FF909F
dscp,allen_ccf,812,#CCCCCC
P-sen,allen_ccf,1132,#FFAE6F
VISli,allen_ccf,312782574,#08858C
RSPagl6b,allen_ccf,279,#1AA698
ISN,allen_ccf,106,#FFB3D9
SSp-m5,allen_ccf,974,#188064
VISC6a,allen_ccf,857,#11AD83
TM,allen_ccf,557,#FF4C3E
V3,allen_ccf,129,#AAAAAA
TEa6b,allen_ccf,786,#15B0B3
Xn,allen_ccf,917,#CCCCCC
VISam,allen_ccf,394,#08858C
DCN,allen_ccf,720,#FFA5D2
OP,allen_ccf,706,#FF90FF
MO,allen_ccf,500,#1F9D5A
VIS,allen_ccf,669,#08858C
CS,allen_ccf,679,#FFC395
SOCm,allen_ccf,105,#FFAE6F
V,allen_ccf,621,#FFBA86
MRN,allen_ccf,128,#FF90FF
tspc,allen_ccf,1043,#CCCCCC
SSs1,allen_ccf,873,#188064
BA,allen_ccf,292,#80C0E2
SOCl,allen_ccf,114,#FFAE6F
AM,allen_ccf,127,#FF909F
SSp-bfd6a,allen_ccf,1038,#188064
GENv,allen_ccf,1014,#FF909F
MY,allen_ccf,354,#FF9BCD
NB,allen_ccf,580,#FF7AFF
PVHd,allen_ccf,63,#FF4C3E
VISli1,allen_ccf,312782578,#08858C
VISal,allen_ccf,402,#08858C
DCO,allen_ccf,96,#FFA5D2
PSTN,allen_ccf,364,#F2483B
arb,allen_ccf,728,#CCCCCC
VISal6b,allen_ccf,649,#08858C
VS,allen_ccf,73,#AAAAAA
SNr,allen_ccf,381,#FF90FF
sptV,allen_ccf,794,#CCCCCC
SSp-ul1,allen_ccf,450,#188064
SSp-m4,allen_ccf,950,#188064
SPVI,allen_ccf,437,#FFA5D2
IPC,allen_ccf,607344838,#FFA6FF
SSp-tr6a,allen_ccf,9,#188064
VISa6b,allen_ccf,312782570,#009FAC
PFL,allen_ccf,1041,#FFFC91
VISam4,allen_ccf,401,#08858C
MOp,allen_ccf,985,#1F9D5A
ORBvl,allen_ccf,746,#248A5E
mfbc,allen_ccf,768,#CCCCCC
RPA,allen_ccf,230,#FFC6E2
SSp-n6a,allen_ccf,889,#188064
LRNp,allen_ccf,963,#FFB3D9
MBmot,allen_ccf,323,#FF90FF
RHP,allen_ccf,822,#32B825
SSp-ll1,allen_ccf,1030,#188064
PPT,allen_ccf,1061,#FF90FF
MOs5,allen_ccf,767,#1F9D5A
LING,allen_ccf,912,#FFFC91
RSPagl6a,allen_ccf,906,#1AA698
IPA,allen_ccf,607344842,#FFA6FF
VISC6b,allen_ccf,849,#11AD83
BAC,allen_ccf,287,#B3C0DF
SSp-bfd1,allen_ccf,981,#188064
MED,allen_ccf,444,#FF909F
VISli,allen_ccf,312782574,#08858C
SOC,allen_ccf,398,#FFAE6F
TEa6a,allen_ccf,729,#15B0B3
SSp-n,allen_ccf,353,#188064
ml,allen_ccf,697,#CCCCCC
SUM,allen_ccf,525,#FF4C3E
AHN,allen_ccf,88,#FF4C3E
LH,allen_ccf,186,#FF909F
dtd,allen_ccf,1060,#CCCCCC
vhc,allen_ccf,449,#CCCCCC
CP,allen_ccf,672,#98D6F9
B,allen_ccf,280,#FFBA86
SSp-tr5,allen_ccf,1111,#188064
XII,allen_ccf,773,#FFB3D9
SSp-tr4,allen_ccf,1086,#188064
c,allen_ccf,164,#AAAAAA
SSp-bfd6b,allen_ccf,1062,#188064
AN,allen_ccf,1017,#FFFC91
or,allen_ccf,484682520,#CCCCCC
TRN,allen_ccf,574,#FFBA86
MM,allen_ccf,491,#FF4C3E
VISC1,allen_ccf,897,#11AD83
das,allen_ccf,506,#CCCCCC
fxs,allen_ccf,1099,#CCCCCC
VISal6a,allen_ccf,601,#08858C
MGm,allen_ccf,1088,#FF8084
VP,allen_ccf,709,#FF8084
SSp-tr6b,allen_ccf,461,#188064
BMA,allen_ccf,319,#84EA81
VISa6a,allen_ccf,312782566,#009FAC
NOD,allen_ccf,968,#FFFC91
RSPagl,allen_ccf,894,#1AA698
VISC,allen_ccf,677,#11AD83
PAL,allen_ccf,803,#8599CC
LSX,allen_ccf,275,#90CBED
root,allen_ccf,997,#FFFFFF
P-sat,allen_ccf,1117,#FFC395
PVR,allen_ccf,141,#FF5547
MDRNd,allen_ccf,1098,#FFB3D9
ECT6a,allen_ccf,977,#0D9F91
IPDL,allen_ccf,607344858,#FFA6FF
RH,allen_ccf,189,#FF909F
moV,allen_ccf,93,#CCCCCC
CA3,allen_ccf,463,#7ED04B
SGN,allen_ccf,325,#FF909F
IB,allen_ccf,1129,#FF7080
AMd,allen_ccf,1096,#FF909F
GU6b,allen_ccf,662,#009C75
STRv,allen_ccf,493,#80CDF8
DR,allen_ccf,872,#FFA6FF
aco,allen_ccf,900,#CCCCCC
FL,allen_ccf,1049,#FFFC91
EW,allen_ccf,975,#FF90FF
ILA1,allen_ccf,707,#59B363
MOp6b,allen_ccf,882,#1F9D5A
ILA2,allen_ccf,747,#59B363
VMH,allen_ccf,693,#FF4C3E
I5,allen_ccf,549009227,#FFBA86
alv,allen_ccf,466,#CCCCCC
drt,allen_ccf,792,#CCCCCC
SPF,allen_ccf,406,#FF8084
IC,allen_ccf,4,#FF7AFF
grey,allen_ccf,8,#BFDAE3
CA2,allen_ccf,423,#7ED04B
ORBl1,allen_ccf,448,#248A5E
SCig,allen_ccf,10,#FF90FF
ORBm5,allen_ccf,620,#248A5E
HPF,allen_ccf,1089,#7ED04B
PALd,allen_ccf,818,#8599CC
VISpor6a,allen_ccf,312782648,#08858C
AId6b,allen_ccf,831,#219866
sm,allen_ccf,802,#CCCCCC
mct,allen_ccf,428,#CCCCCC
SCdw,allen_ccf,42,#FF90FF
IPDM,allen_ccf,607344854,#FFA6FF
PA,allen_ccf,780,#97EC93
